Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
11,Aceh,Beras Premium,2021,Januari,"Rp12,072"
12,Sumatera Utara,Beras Premium,2021,Januari,"Rp12,523"
13,Sumatera Barat,Beras Premium,2021,Januari,"Rp13,096"
14,Riau,Beras Premium,2021,Januari,"Rp14,605"
15,Jambi,Beras Premium,2021,Januari,"Rp12,323"
16,Sumatera Selatan,Beras Premium,2021,Januari,"Rp11,675"
17,Bengkulu,Beras Premium,2021,Januari,"Rp11,752"
18,Lampung,Beras Premium,2021,Januari,"Rp11,428"
19,Kepulauan Bangka Belitung,Beras Premium,2021,Januari,"Rp12,675"
21,Kepulauan Riau,Beras Premium,2021,Januari,"Rp13,817"
31,DKI Jakarta,Beras Premium,2021,Januari,"Rp12,575"
32,Jawa Barat,Beras Premium,2021,Januari,"Rp11,469"
33,Jawa Tengah,Beras Premium,2021,Januari,"Rp11,674"
34,DI Yogyakarta,Beras Premium,2021,Januari,"Rp12,126"
35,Jawa Timur,Beras Premium,2021,Januari,"Rp11,582"
36,Banten,Beras Premium,2021,Januari,"Rp11,095"
51,Bali,Beras Premium,2021,Januari,"Rp11,977"
52,Nusa Tenggara Barat,Beras Premium,2021,Januari,"Rp11,987"
53,Nusa Tenggara Timur,Beras Premium,2021,Januari,"Rp12,402"
61,Kalimantan Barat,Beras Premium,2021,Januari,"Rp13,855"
62,Kalimantan Tengah,Beras Premium,2021,Januari,"Rp14,373"
63,Kalimantan Selatan,Beras Premium,2021,Januari,"Rp14,046"
64,Kalimantan Timur,Beras Premium,2021,Januari,"Rp13,305"
65,Kalimantan Utara,Beras Premium,2021,Januari,"Rp13,940"
71,Sulawesi Utara,Beras Premium,2021,Januari,"Rp12,275"
72,Sulawesi Tengah,Beras Premium,2021,Januari,"Rp11,682"
73,Sulawesi Selatan,Beras Premium,2021,Januari,"Rp11,048"
74,Sulawesi Tenggara,Beras Premium,2021,Januari,"Rp10,190"
75,Gorontalo,Beras Premium,2021,Januari,"Rp11,283"
76,Sulawesi Barat,Beras Premium,2021,Januari,"Rp11,090"
81,Maluku,Beras Premium,2021,Januari,"Rp14,460"
